date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:57	29171/29171	---M-Z	200	added ('OK')	text/html	etag:%2271f3-561c5086a29d6%22	http://www.innovationplans.com/idesign/sam-martin/main.html	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/main.html	(from )
10:16:04	176/176	---M--	200	added ('OK')	text/plain	date:Tue,%2030%20Jan%202018%2004:46:04%20GMT	http://www.innovationplans.com/robots.txt		(from )
10:16:05	318/318	---M-Z	200	added ('OK')	image/x-icon	etag:%2213e-561c519d0dab9%22	http://www.innovationplans.com/idesign/sam-martin/img/favicon.ico	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/favicon.ico	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:06	3228/3228	---M-Z	200	added ('OK')	text/css	etag:%22c9c-561c508f7fe0b%22	http://www.innovationplans.com/idesign/sam-martin/css/owl.carousel.min.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/owl.carousel.min.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:06	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-561c5085aebaf%22	http://www.innovationplans.com/idesign/sam-martin/css/bootstrap.min.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/bootstrap.min.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:06	1003/1003	---M-Z	200	added ('OK')	text/css	etag:%223eb-561c508ffb2b1%22	http://www.innovationplans.com/idesign/sam-martin/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/owl.theme.default.min.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:07	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-561c508e9aa26%22	http://www.innovationplans.com/idesign/sam-martin/css/magnific-popup.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/magnific-popup.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-561c508f05524%22	http://www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/font-awesome.min.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:08	7067/7067	---M-Z	200	added ('OK')	text/css	etag:%221b9b-561c5087a5a60%22	http://www.innovationplans.com/idesign/sam-martin/css/et-line.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/et-line.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:08	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-561c508c7d602%22	http://www.innovationplans.com/idesign/sam-martin/css/ionicons.min.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/ionicons.min.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:09	26758/26758	---M-Z	200	added ('OK')	text/css	etag:%226886-561c509340d02%22	http://www.innovationplans.com/idesign/sam-martin/css/style.css	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/css/style.css	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:09	2730/2730	---M-Z	200	added ('OK')	application/x-javascript	etag:%22aaa-561c51afc948a%22	http://www.innovationplans.com/idesign/sam-martin/js/html5shiv.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/html5shiv.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:10	4186/4186	---M--	200	added ('OK')	image/png	etag:%22105a-561c51a5dc89f%22	http://www.innovationplans.com/idesign/sam-martin/img/logo-light.png	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/logo-light.png	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:17	64886/64886	---M--	200	added ('OK')	image/jpeg	etag:%22fd76-561c52450744f%22	http://www.innovationplans.com/idesign/sam-martin/img/portfolio/1.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/portfolio/1.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:18	87967/87967	---M--	200	added ('OK')	image/jpeg	etag:%221579f-561c51a4e0176%22	http://www.innovationplans.com/idesign/sam-martin/img/hero.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/hero.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:23	58098/58098	---M--	200	added ('OK')	image/jpeg	etag:%22e2f2-561c524affd27%22	http://www.innovationplans.com/idesign/sam-martin/img/portfolio/3.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/portfolio/3.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:23	67420/67420	---M--	200	added ('OK')	image/jpeg	etag:%221075c-561c52455cb83%22	http://www.innovationplans.com/idesign/sam-martin/img/portfolio/2.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/portfolio/2.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:24	14942/14942	---M-Z	200	added ('OK')	text/html	etag:%223a5e-561c50781398e%22	http://www.innovationplans.com/idesign/sam-martin/blog.html	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/blog.html	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:25	41736/41736	---M--	200	added ('OK')	image/jpeg	etag:%22a308-561c524de7787%22	http://www.innovationplans.com/idesign/sam-martin/img/portfolio/5.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/portfolio/5.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:16:26	59144/59144	---M--	200	added ('OK')	image/jpeg	etag:%22e708-561c524acffb8%22	http://www.innovationplans.com/idesign/sam-martin/img/portfolio/4.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/portfolio/4.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:07	71510/71510	---M--	200	added ('OK')	image/jpeg	etag:%2211756-561c5255583f5%22	http://www.innovationplans.com/idesign/sam-martin/img/portfolio/6.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/portfolio/6.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:13	143464/143464	---M--	200	added ('OK')	image/jpeg	etag:%2223068-561c51e6938ad%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/2.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/2.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:19	86341/86341	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215145-561c51b947b10%22	http://www.innovationplans.com/idesign/sam-martin/js/jquery-3.0.0.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/jquery-3.0.0.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:20	7083/7083	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bab-561c51c2e26a5%22	http://www.innovationplans.com/idesign/sam-martin/js/jquery-migrate-3.0.0.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/jquery-migrate-3.0.0.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:21	37045/37045	---M-Z	200	added ('OK')	application/x-javascript	etag:%2290b5-561c51b03bcb7%22	http://www.innovationplans.com/idesign/sam-martin/js/bootstrap.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/bootstrap.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:22	1418/1418	---M-Z	200	added ('OK')	application/x-javascript	etag:%2258a-561c51d664c12%22	http://www.innovationplans.com/idesign/sam-martin/js/scrollIt.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/scrollIt.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:23	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-561c51cd435db%22	http://www.innovationplans.com/idesign/sam-martin/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/jquery.magnific-popup.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:24	42854/42854	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a766-561c51d3243e9%22	http://www.innovationplans.com/idesign/sam-martin/js/owl.carousel.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/owl.carousel.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:24	12597/12597	---M-Z	200	added ('OK')	application/x-javascript	etag:%223135-561c51c4dcfd8%22	http://www.innovationplans.com/idesign/sam-martin/js/jquery.stellar.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/jquery.stellar.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:25	12130/12130	---M-Z	200	added ('OK')	application/x-javascript	etag:%222f62-561c51d86a526%22	http://www.innovationplans.com/idesign/sam-martin/js/typed.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/typed.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:25	219769/219769	---M--	200	added ('OK')	image/jpeg	etag:%2235a79-561c522432cf1%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/1.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/1.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:26	9028/9028	---M-Z	200	added ('OK')	application/x-javascript	etag:%222344-561c51cba0ed1%22	http://www.innovationplans.com/idesign/sam-martin/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/jquery.waypoints.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:26	1115/1115	---M-Z	200	added ('OK')	application/x-javascript	etag:%2245b-561c51bd0fb4d%22	http://www.innovationplans.com/idesign/sam-martin/js/jquery.counterup.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/jquery.counterup.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:26	138020/138020	---M--	200	added ('OK')	image/jpeg	etag:%2221b24-561c51f27776e%22	http://www.innovationplans.com/idesign/sam-martin/img/blog/3.jpg	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/img/blog/3.jpg	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:27	11730/11730	---M-Z	200	added ('OK')	application/x-javascript	etag:%222dd2-561c51d9ca272%22	http://www.innovationplans.com/idesign/sam-martin/js/validator.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/validator.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:28	4926/4926	---M-Z	200	added ('OK')	application/x-javascript	etag:%22133e-561c51af4ebc1%22	http://www.innovationplans.com/idesign/sam-martin/js/custom.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/custom.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:28	40863/40863	---M-Z	200	added ('OK')	application/x-javascript	etag:%229f9f-561c51bb9ecfc%22	http://www.innovationplans.com/idesign/sam-martin/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/js/isotope.pkgd.min.js	(from http://www.innovationplans.com/idesign/sam-martin/main.html)
10:17:30	20335/20335	---M--	200	added ('OK')	text/plain	etag:%224f6f-561c50ea32b04%22	http://www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Website/www.innovationplans.com/idesign/sam-martin/fonts/glyphicons-halflings-regular.eot	(from http://www.innovationplans.com/idesign/sam-martin/css/bootstrap.min.css)
